title,score,revenue,year,released
10 Cloverfield Lane,6.8,108286421,2016,2016-03-11
10 Things I Hate About You,7.3,53478166,1999,1999-03-31
102 Dalmatians,5.1,183611771,2000,2000-11-22
12 Rounds,5.7,17280326,2009,2009-03-27
12 Years a Slave,7.9,187000000,2013,2013-11-08
127 Hours,7,35692920,2010,2011-01-28
13 Going on 30,6.3,96455697,2004,2004-04-23
1408,6.5,94679598,2007,2007-06-22
15 Minutes,5.7,56359980,2001,2001-03-09
16 Blocks,6.2,65664721,2006,2006-03-03
17 Again,6.1,136267476,2009,2009-04-17
2 Fast 2 Furious,6.2,236350661,2003,2003-06-06
2 Guns,6.6,131940411,2013,2013-08-02
200 Cigarettes,6.1,6852450,1999,1999-02-26
2012,5.6,769653595,2009,2009-11-13
2046,6.9,19271312,2004,2004-09-29
21,6.5,69823199,2008,2008-03-28
21 & Over,5.7,48065672,2013,2013-03-01
21 Grams,7.2,60427839,2003,2004-01-16
21 Jump Street,6.7,201585328,2012,2012-03-16
22 Jump Street,7,188441614,2014,2014-06-13
25th Hour,7.2,13060843,2002,2003-01-10
27 Dresses,6.1,160259319,2008,2008-01-18
28 Weeks Later,6.5,64238440,2007,2007-05-11
3 Days to Kill,6,52597999,2014,2014-02-21
30 Days of Night,6.2,75505973,2007,2007-10-19
300,7,422610419,2006,2007-03-09
3000 Miles to Graceland,5.8,18720175,2001,2001-02-23
300: Rise of an Empire,6.1,337580051,2014,2014-03-07
3:10 to Yuma,6.9,70016220,2007,2007-09-07
47 Ronin,5.9,150962475,2013,2013-12-25
50 First Dates,6.6,196482882,2004,2004-02-13
50/50,7,39187783,2011,2011-09-30
54,5.5,16757163,1998,1998-08-28
8 Mile,6.8,215000000,2002,2002-11-08
88 Minutes,5.7,16930884,2007,2008-04-18
8MM,6.1,96618699,1999,1999-02-26
9,6.6,48428063,2009,2009-09-09
90 Minutes in Heaven,5.4,4842699,2015,2015-09-11
A Beautiful Mind,7.7,313542341,2001,2002-01-04
A Bug's Life,6.8,363258859,1998,1998-11-25
A Christmas Carol,6.6,325233863,2009,2009-11-06
A Cinderella Story,6.1,70067909,2004,2004-07-16
A Civil Action,6.1,56702901,1998,1999-01-08
A Few Good Men,7.1,243240178,1992,1992-12-11
A Good Day to Die Hard,5.2,304654182,2013,2013-02-14
A Good Year,6.5,42064105,2006,2006-11-10
A Guy Thing,5.3,17432163,2003,2003-01-17
A Haunted House,5.4,60141683,2013,2013-01-11
A History of Violence,6.9,60740827,2005,2005-09-30
A Home at the End of the World,6.8,1548955,2004,2004-10-14
A Knight's Tale,6.6,117487473,2001,2001-05-11
A League of Their Own,6.7,107458785,1992,1992-07-01
A Lot Like Love,6.5,42886719,2005,2005-04-22
A Low Down Dirty Shame,6,29392418,1994,1994-11-23
A Man Apart,5.8,44350926,2003,2003-04-04
A Mighty Heart,6.7,18928871,2007,2007-06-22
A Most Violent Year,6.5,12007070,2014,2015-01-30
A Most Wanted Man,6.5,31554855,2014,2014-08-01
A Night at the Roxbury,5.9,30331165,1998,1998-10-02
A Nightmare on Elm Street,7.2,25504513,2010,2010-04-30
A Nightmare on Elm Street 3: Dream Warriors,6.5,44793222,1987,1987-02-27
A Nightmare on Elm Street 4: The Dream Master,5.8,72500000,1988,1988-08-19
A Nightmare on Elm Street 5: The Dream Child,5.5,22168359,1989,1989-08-11
A Perfect Getaway,6.2,22852638,2009,2009-08-07
A Scanner Darkly,6.8,7659918,2006,2006-07-28
A Serious Man,6.6,31430334,2009,2009-11-06
A Simple Wish,5.5,8345056,1997,1997-07-11
A Sound of Thunder,4.8,5989640,2005,2005-09-02
A Thousand Words,6,22044277,2012,2012-03-09
A Time to Kill,7,152266007,1996,1996-07-24
A Walk Among the Tombstones,6.2,53181600,2014,2014-09-19
A Walk to Remember,7.5,41227069,2002,2002-01-25
A.I. Artificial Intelligence,6.8,235926552,2001,2001-06-29
Abandon,4.6,10719357,2002,2002-10-18
Abduction,5.6,82087155,2011,2011-09-23
About a Boy,6.6,129000000,2002,2002-05-17
About Last Night,6,49002684,2014,2014-02-14
About Schmidt,6.7,105834556,2002,2003-01-03
Abraham Lincoln: Vampire Hunter,5.5,112265139,2012,2012-06-22
Absolute Power,6.4,50068310,1997,1997-02-14
Ace Ventura: Pet Detective,6.4,107217396,1994,1994-02-04
Ace Ventura: When Nature Calls,6.1,212385533,1995,1995-11-10
Act of Valor,6.3,81272766,2012,2012-02-24
Action Jackson,4.9,20256975,1988,1988-02-12
Adaptation.,7.3,32801173,2002,2003-02-14
Adore,6.1,318982,2013,2013-10-25
After Earth,5,243843127,2013,2013-05-31
After the Sunset,6,61347797,2004,2004-11-12
After.Life,5.4,3606395,2009,2011-06-24
Agent Cody Banks,5,58795814,2003,2003-03-14
Agent Cody Banks 2: Destination London,5.2,28818995,2004,2004-03-12
Agora,6.9,39041505,2009,2010-09-10
Air Bud,5.3,23144499,1997,1997-08-01
Air Force One,6.2,315156409,1997,1997-07-25
Aladdin,7.4,504050219,1992,1992-11-25
Albert Nobbs,6.2,5634828,2011,2012-06-08
Alex & Emma,5,15368897,2003,2003-06-20
Alex Cross,5.1,30353232,2012,2012-10-19
Alexander,5.6,167298192,2004,2004-11-24
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",6.1,100654149,2014,2014-10-10
Alfie,5.6,13395939,2004,2004-11-05
Ali,6.7,87713825,2001,2001-12-25
Alice in Wonderland,6.4,1025491110,2010,2010-03-05
Alice Through the Looking Glass,6.5,299370084,2016,2016-05-27
Aliens,7.7,183316455,1986,1986-07-18
Aliens in the Attic,5.3,57881056,2009,2009-07-31
