title	genre	score	revenue	released
12 Rounds	Action	5.7	17280326	2009-03-27
15 Minutes	Action	5.7	56359980	2001-03-09
16 Blocks	Action	6.2	65664721	2006-03-03
2 Fast 2 Furious	Action	6.2	236350661	2003-06-06
2 Guns	Action	6.6	131940411	2013-08-02
2012	Action	5.6	769653595	2009-11-13
21 Jump Street	Action	6.7	201585328	2012-03-16
22 Jump Street	Action	7	188441614	2014-06-13
3 Days to Kill	Action	6	52597999	2014-02-21
300	Action	7	422610419	2007-03-09
3000 Miles to Graceland	Action	5.8	18720175	2001-02-23
300: Rise of an Empire	Action	6.1	337580051	2014-03-07
47 Ronin	Action	5.9	150962475	2013-12-25
A Good Day to Die Hard	Action	5.2	304654182	2013-02-14
A Knight's Tale	Action	6.6	117487473	2001-05-11
A Low Down Dirty Shame	Action	6	29392418	1994-11-23
A Man Apart	Action	5.8	44350926	2003-04-04
A Nightmare on Elm Street 3: Dream Warriors	Action	6.5	44793222	1987-02-27
A Sound of Thunder	Action	4.8	5989640	2005-09-02
Abduction	Action	5.6	82087155	2011-09-23
Abraham Lincoln: Vampire Hunter	Action	5.5	112265139	2012-06-22
Absolute Power	Action	6.4	50068310	1997-02-14
Act of Valor	Action	6.3	81272766	2012-02-24
Action Jackson	Action	4.9	20256975	1988-02-12
After Earth	Action	5	243843127	2013-05-31
After the Sunset	Action	6	61347797	2004-11-12
Agent Cody Banks	Action	5	58795814	2003-03-14
Agent Cody Banks 2: Destination London	Action	5.2	28818995	2004-03-12
Air Force One	Action	6.2	315156409	1997-07-25
Alex Cross	Action	5.1	30353232	2012-10-19
Alexander	Action	5.6	167298192	2004-11-24
Aliens	Action	7.7	183316455	1986-07-18
All About the Benjamins	Action	5.8	25482931	2002-03-08
All Is Lost	Action	6.6	6108720	2013-11-07
Allegiant	Action	5.9	179246868	2016-03-18
Alone in the Dark	Action	3.1	10442808	2005-01-28
American Outlaws	Action	5.7	13678913	2001-08-17
American Sniper	Action	7.4	542307423	2015-01-16
Anaconda	Action	4.7	136885767	1997-04-11
Anacondas: The Hunt for the Blood Orchid	Action	4.9	70992898	2004-08-27
Ant-Man	Action	7	519311965	2015-07-17
Antitrust	Action	5.8	18195610	2001-01-12
Apocalypto	Action	7.3	120175290	2006-12-08
Armageddon	Action	6.4	553799566	1998-07-01
Armored	Action	5.5	22942221	2009-12-04
Around the World in 80 Days	Action	5.7	72178895	2004-06-16
Assassins	Action	6	30303072	1995-10-06
Assault on Precinct 13	Action	6	35294470	2005-01-19
Attack the Block	Action	6.3	3964682	2011-05-13
Austin Powers in Goldmember	Action	5.9	296655431	2002-07-26
Austin Powers: The Spy Who Shagged Me	Action	6.2	310940086	1999-06-11
Avatar	Action	7.2	2787965087	2009-12-18
Avengers: Age of Ultron	Action	7.3	1405403694	2015-05-01
AVP: Alien vs. Predator	Action	5.5	171183863	2004-08-13
Babylon A.D.	Action	5.4	72108608	2008-08-29
Bad Boys	Action	6.5	141407024	1995-04-07
Bad Boys II	Action	6.3	273339556	2003-07-18
Bad Company	Action	5.4	65977295	2002-06-07
Ballistic: Ecks vs. Sever	Action	4.3	19924033	2002-09-20
Bangkok Dangerous	Action	5	42487390	2008-09-05
Batman	Action	7	411348924	1989-06-23
Batman & Robin	Action	4.2	238207122	1997-06-20
Batman Begins	Action	7.5	374218673	2005-06-15
Batman Forever	Action	5.2	336529144	1995-06-16
Batman Returns	Action	6.6	280000000	1992-06-19
Batman v Superman: Dawn of Justice	Action	5.7	873260194	2016-03-25
Battlefield Earth	Action	3	21400000	2000-05-12
Battleship	Action	5.5	303025485	2012-05-18
Beastmaster 2: Through the Portal of Time	Action	4.6	869325	1991-08-30
Behind Enemy Lines	Action	6	91753202	2001-11-30
Ben-Hur	Action	5.3	94061311	2016-08-19
Beverly Hills Cop II	Action	6.1	299965036	1987-05-20
Beverly Hills Cop III	Action	5.5	119208989	1994-05-25
Big Momma's House	Action	5.6	173959438	2000-06-02
"Big Mommas: Like Father, Like Son"	Action	5.3	83615414	2011-02-18
Big Trouble in Little China	Action	7.1	11000000	1986-07-02
Black Rain	Action	6.2	45892212	1989-09-22
Blade	Action	6.5	131183530	1998-08-21
Blade II	Action	6.2	155010032	2002-03-22
Blade: Trinity	Action	5.7	128905366	2004-12-08
Blood Work	Action	6.1	26199517	2002-08-09
BloodRayne	Action	3.5	2405420	2006-01-06
Bloodsport	Action	6.6	11806119	1988-04-29
Blue Streak	Action	6.1	117758500	1999-09-17
Body of Lies	Action	6.5	113280098	2008-10-10
Breakdown	Action	6.6	50159144	1997-05-02
Broken Arrow	Action	5.7	150270147	1996-02-09
Captain America: Civil War	Action	7.1	1153304495	2016-05-06
Captain America: The First Avenger	Action	6.6	370569774	2011-07-22
Captain America: The Winter Soldier	Action	7.6	714766572	2014-04-04
Captive	Action	5.6	2801508	2015-09-18
Casino Royale	Action	7.3	599045960	2006-11-17
Cats & Dogs	Action	5	93375151	2001-07-04
Catwoman	Action	4.2	82102379	2004-07-23
Cellular	Action	6.1	56422687	2004-09-10
Central Intelligence	Action	6.2	216972543	2016-06-17
Centurion	Action	5.9	6814789	2010-07-30
Chain Reaction	Action	5.3	60209334	1996-08-02
Chappie	Action	6.6	104399548	2015-03-06
Charlie's Angels	Action	5.6	264105545	2000-11-03
Charlie's Angels: Full Throttle	Action	5.2	259175788	2003-06-27
Cirque du Freak: The Vampire's Assistant	Action	5.5	28169671	2009-10-23
Clash of the Titans	Action	5.6	232713139	2010-04-02
Clear and Present Danger	Action	6.4	215887717	1994-08-03
Cliffhanger	Action	6.1	255000211	1993-05-28
Clockstoppers	Action	4.9	38793283	2002-03-29
Cloud Atlas	Action	6.6	130482868	2012-10-26
Cloverfield	Action	6.4	170764026	2008-01-18
Collateral Damage	Action	5.5	78382433	2002-02-08
Colombiana	Action	6.5	60965854	2011-08-26
Con Air	Action	6.5	224012234	1997-06-06
Conan the Barbarian	Action	6.6	79114085	2011-08-19
Congo	Action	5	152022101	1995-06-09
Conspiracy Theory	Action	6.5	136982834	1997-08-08
Contraband	Action	6.1	63100000	2012-01-13
Cop Out	Action	5.3	55583804	2010-02-26
Courage Under Fire	Action	6.2	100860818	1996-07-12
Cradle 2 the Grave	Action	5.8	56489558	2003-02-28
Crank	Action	6.6	42931041	2006-09-01
Crank: High Voltage	Action	5.9	34560577	2009-04-17
Criminal	Action	5.7	14708696	2016-04-15
Crimson Tide	Action	7	157387195	1995-05-12
"Crouching Tiger, Hidden Dragon"	Action	7.2	213525736	2001-01-12
Cutthroat Island	Action	5.7	10017322	1995-12-22
Dante's Peak	Action	5.7	178127760	1997-02-07
Dark Blue	Action	6.5	9237470	2003-02-21
Dawn of the Dead	Action	6.8	102356381	2004-03-19
Dawn of the Planet of the Apes	Action	7.3	710644566	2014-07-11
Daylight	Action	5.8	159212469	1996-12-06
Days of Thunder	Action	5.9	157920733	1990-06-27
Deadpool	Action	7.4	783112979	2016-02-12
Death Race	Action	6	73762516	2008-08-22
Death Sentence	Action	6.5	16974459	2007-08-31
Deep Blue Sea	Action	5.6	73648228	1999-07-28
Deep Impact	Action	5.9	140464664	1998-05-08
Deep Rising	Action	6	11203026	1998-01-30
Desperado	Action	6.8	25405445	1995-08-25
Dick Tracy	Action	5.9	103738726	1990-06-15
Die Another Day	Action	5.8	431971116	2002-11-22
Die Hard	Action	7.5	140767956	1988-07-20
Die Hard 2	Action	6.6	240031094	1990-07-04
DOA: Dead or Alive	Action	5	480314	2007-06-15
Domino	Action	6	22944502	2005-10-14
Doom	Action	5	55987321	2005-10-21
Doomsday	Action	5.8	22211426	2008-03-14
Double Impact	Action	5.3	30102717	1991-08-09
Dracula 2000	Action	4.6	33000337	2000-12-22
Dracula Untold	Action	6.2	215529201	2014-10-10
Dragon Wars: D-War	Action	4	53587404	2007-09-14
DragonHeart	Action	6.4	115267375	1996-05-31
Dredd	Action	6.6	41037742	2012-09-21
Drive Angry	Action	5.3	28931401	2011-02-25
Driven	Action	4.5	54744738	2001-04-27
Dylan Dog: Dead of Night	Action	4.5	4634062	2011-04-29
Eagle Eye	Action	6.3	178066569	2008-09-26
Edge of Tomorrow	Action	7.6	370541256	2014-06-06
El Mariachi	Action	6.6	2040920	1993-02-26
Elektra	Action	4.8	56681566	2005-01-14
Elysium	Action	6.4	286140700	2013-08-09
End of Days	Action	5.5	211989043	1999-11-24
End of Watch	Action	7.2	48126384	2012-09-21
Ender's Game	Action	6.6	125537191	2013-11-01
Enemy of the State	Action	6.7	250649836	1998-11-20
Entrapment	Action	6	212404396	1999-04-30
Equilibrium	Action	6.9	5359645	2002-12-06
Eragon	Action	4.9	249288105	2006-12-15
Eraser	Action	5.6	242295562	1996-06-21
Escape from L.A.	Action	5.6	42277365	1996-08-09
Escape Plan	Action	6.7	122915111	2013-10-18
Everest	Action	6.7	203427584	2015-09-25
Executive Decision	Action	5.8	121969216	1996-03-15
Exit Wounds	Action	5.3	79958599	2001-03-16
Exodus: Gods and Kings	Action	5.6	268031828	2014-12-12
Face/Off	Action	6.8	245676146	1997-06-27
Fair Game	Action	6.5	24188922	1995-11-03
Fantastic 4: Rise of the Silver Surfer	Action	5.4	289047763	2007-06-15
Fantastic Four	Action	4.4	167977596	2005-07-08
Fantastic Four	Action	4.4	167977596	2015-08-07
Fast Five	Action	7.1	626137675	2011-04-29
First Knight	Action	5.9	127600435	1995-07-07
Fled	Action	5.2	17193231	1996-07-19
Flight of the Phoenix	Action	5.7	21009180	2004-12-17
Flyboys	Action	6.3	17800000	2006-09-22
Fool's Gold	Action	5.4	111231041	2008-02-08
Fortress	Action	5.7	6739141	1993-09-03
Four Brothers	Action	6.7	92374674	2005-08-12
Freddy vs. Jason	Action	5.8	114908830	2003-08-15
Free State of Jones	Action	6.6	25035950	2016-06-24
From a Whisper to a Scream	Action	6.8	1400000	1987-09-04
From Dusk Till Dawn	Action	6.9	25836616	1996-01-19
Furious 7	Action	7.3	1506249360	2015-04-03
Fury	Action	7.4	211817906	2014-10-17
G.I. Jane	Action	6	48169156	1997-08-22
G.I. Joe: Retaliation	Action	5.4	371876278	2013-03-28
G.I. Joe: The Rise of Cobra	Action	5.6	302469017	2009-08-07
Gamer	Action	5.6	40828540	2009-09-04
Gangster Squad	Action	6.2	105200903	2013-01-11
Get Carter	Action	4.8	19412993	2000-10-06
Get Smart	Action	6	230685453	2008-06-20
Ghost Rider	Action	5.2	228738393	2007-02-16
Ghost Rider: Spirit of Vengeance	Action	4.7	149217355	2012-02-17
Ghostbusters	Action	5.3	229147509	2016-07-15
Ghosts of Mars	Action	4.8	14010832	2001-08-24
Gladiator	Action	7.9	457640427	2000-05-05
Gods of Egypt	Action	5.3	150680864	2016-02-26
Godzilla 2000	Action	5.9	10037390	2000-08-18
GoldenEye	Action	6.6	352194034	1995-11-17
Gone in Sixty Seconds	Action	6.1	237202299	2000-06-09
Green Lantern	Action	5.1	219851172	2011-06-17
Green Zone	Action	6.4	94882889	2010-03-12
Grindhouse	Action	6.8	25037897	2007-04-06
Guardians of the Galaxy	Action	7.9	773328629	2014-08-01
Hancock	Action	6.2	624029371	2008-07-02
Hanna	Action	6.5	63782078	2011-04-08
Hard Rain	Action	5.5	19870567	1998-01-16
