year,Action,Adventure,Animation,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,War,Western,SUM
1 986.00,7.00,5.00,.00,6.00,2.00,4.00,.00,4.00,.00,3.00,1.00,.00,3.00,5.00,1.00,2.00,.00,43.00
1 987.00,7.00,6.00,.00,8.00,5.00,7.00,1.00,2.00,2.00,6.00,1.00,.00,2.00,5.00,7.00,1.00,.00,60.00
1 988.00,7.00,5.00,1.00,7.00,3.00,7.00,3.00,2.00,.00,8.00,1.00,.00,3.00,3.00,10.00,1.00,1.00,62.00
1 989.00,8.00,7.00,.00,6.00,2.00,7.00,1.00,1.00,.00,3.00,.00,1.00,1.00,4.00,7.00,2.00,.00,50.00
1 990.00,7.00,6.00,.00,10.00,5.00,10.00,4.00,4.00,.00,6.00,.00,2.00,4.00,5.00,9.00,.00,1.00,73.00
1 991.00,10.00,8.00,.00,7.00,5.00,10.00,3.00,3.00,1.00,2.00,1.00,.00,2.00,4.00,9.00,.00,.00,65.00
1 992.00,8.00,5.00,1.00,10.00,6.00,9.00,3.00,4.00,3.00,1.00,2.00,1.00,4.00,3.00,7.00,1.00,1.00,69.00
1 993.00,12.00,11.00,1.00,8.00,8.00,18.00,7.00,8.00,2.00,1.00,1.00,3.00,7.00,4.00,12.00,1.00,1.00,105.00
1 994.00,15.00,7.00,1.00,16.00,9.00,12.00,4.00,7.00,1.00,2.00,.00,4.00,6.00,3.00,14.00,2.00,1.00,104.00
1 995.00,24.00,9.00,2.00,15.00,19.00,25.00,3.00,5.00,3.00,4.00,.00,4.00,11.00,5.00,22.00,1.00,.00,152.00
1 996.00,18.00,11.00,2.00,17.00,11.00,33.00,4.00,7.00,2.00,5.00,1.00,6.00,13.00,7.00,24.00,2.00,.00,163.00
1 997.00,25.00,18.00,2.00,18.00,18.00,34.00,6.00,6.00,2.00,7.00,2.00,15.00,11.00,14.00,32.00,.00,.00,210.00
1 998.00,18.00,18.00,5.00,31.00,13.00,38.00,8.00,7.00,4.00,7.00,3.00,9.00,17.00,11.00,17.00,3.00,.00,209.00
1 999.00,18.00,11.00,3.00,41.00,17.00,43.00,8.00,8.00,1.00,9.00,2.00,14.00,19.00,17.00,22.00,3.00,2.00,238.00
2 000.00,26.00,18.00,7.00,38.00,17.00,39.00,12.00,7.00,1.00,8.00,4.00,6.00,16.00,15.00,31.00,2.00,1.00,248.00
2 001.00,35.00,19.00,9.00,40.00,22.00,40.00,13.00,10.00,3.00,4.00,2.00,14.00,30.00,12.00,32.00,4.00,1.00,290.00
2 002.00,36.00,28.00,5.00,38.00,22.00,59.00,12.00,9.00,5.00,9.00,3.00,11.00,23.00,12.00,41.00,5.00,1.00,319.00
2 003.00,28.00,18.00,5.00,34.00,17.00,31.00,8.00,10.00,3.00,7.00,2.00,7.00,11.00,8.00,26.00,3.00,2.00,220.00
2 004.00,34.00,25.00,9.00,46.00,15.00,40.00,12.00,14.00,4.00,9.00,3.00,9.00,25.00,16.00,29.00,4.00,2.00,296.00
2 005.00,35.00,28.00,7.00,39.00,21.00,55.00,17.00,14.00,7.00,17.00,3.00,8.00,19.00,10.00,39.00,3.00,1.00,323.00
2 006.00,27.00,28.00,11.00,42.00,17.00,61.00,19.00,16.00,5.00,9.00,2.00,9.00,26.00,9.00,42.00,7.00,.00,330.00
2 007.00,22.00,15.00,7.00,27.00,15.00,40.00,14.00,14.00,4.00,16.00,5.00,10.00,14.00,8.00,31.00,1.00,2.00,245.00
2 008.00,31.00,24.00,7.00,46.00,20.00,54.00,16.00,11.00,3.00,5.00,3.00,8.00,26.00,17.00,31.00,5.00,1.00,308.00
2 009.00,30.00,28.00,10.00,39.00,17.00,47.00,16.00,13.00,5.00,11.00,5.00,17.00,22.00,21.00,34.00,3.00,.00,318.00
2 010.00,39.00,29.00,9.00,44.00,16.00,57.00,15.00,16.00,2.00,16.00,1.00,13.00,26.00,13.00,35.00,3.00,3.00,337.00
2 011.00,40.00,21.00,10.00,49.00,17.00,56.00,17.00,14.00,4.00,14.00,3.00,12.00,20.00,19.00,43.00,3.00,1.00,343.00
2 012.00,33.00,22.00,8.00,40.00,21.00,51.00,10.00,13.00,3.00,10.00,4.00,4.00,21.00,18.00,36.00,2.00,1.00,297.00
2 013.00,40.00,25.00,8.00,33.00,19.00,48.00,10.00,14.00,5.00,11.00,1.00,3.00,10.00,19.00,33.00,1.00,1.00,281.00
2 014.00,37.00,27.00,8.00,35.00,15.00,49.00,15.00,14.00,3.00,8.00,2.00,10.00,13.00,18.00,30.00,7.00,1.00,292.00
2 015.00,24.00,24.00,8.00,32.00,15.00,46.00,12.00,7.00,4.00,10.00,5.00,10.00,13.00,17.00,25.00,.00,1.00,253.00
2 016.00,21.00,18.00,3.00,18.00,4.00,15.00,6.00,10.00,3.00,7.00,.00,3.00,4.00,9.00,14.00,1.00,.00,136.00
