released,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Horror,Mystery,Romance,SciFi,SUM
1986,7,3,0,0,2,0,1,0,0,1,0,0,0,14
1987,9,3,0,1,3,3,2,0,0,1,0,0,0,22
1988,8,0,1,2,5,0,1,0,0,6,0,0,0,23
1989,7,4,0,0,4,1,2,0,1,1,0,0,0,20
1990,8,3,0,2,6,2,5,0,0,2,0,0,0,28
1991,9,3,0,1,5,3,2,0,0,0,0,0,0,23
1992,6,1,1,1,8,2,3,0,0,1,0,0,0,23
1993,9,4,0,0,3,4,5,1,1,0,0,0,0,27
1994,14,2,1,2,12,4,3,0,1,0,0,0,0,39
1995,21,3,3,2,11,6,6,0,0,1,0,0,0,53
1996,21,1,2,3,15,6,8,1,0,2,0,0,0,59
1997,24,3,3,4,9,8,9,0,0,4,0,0,0,64
1998,20,1,5,4,26,6,13,0,0,4,0,0,0,79
1999,17,4,2,3,29,7,17,0,0,5,1,0,0,85
2000,25,7,8,6,23,4,14,0,0,5,0,0,0,92
2001,25,6,8,3,21,9,24,0,1,2,2,0,0,101
2002,30,6,6,4,27,10,20,0,0,1,0,0,0,104
2003,31,2,5,7,30,5,12,0,0,5,1,0,0,98
2004,30,7,8,3,33,6,18,1,0,3,1,0,1,111
2005,30,13,7,7,20,7,16,0,0,4,1,0,0,105
2006,23,5,11,7,31,11,19,0,0,9,1,0,0,117
2007,19,8,9,10,19,7,19,0,0,7,1,0,1,100
2008,34,10,5,4,29,10,16,0,0,6,0,0,0,114
2009,23,10,14,7,24,3,19,0,0,6,2,0,0,108
2010,38,10,9,7,26,5,18,0,0,6,1,0,0,120
2011,34,6,10,4,37,5,27,0,2,6,2,1,0,134
2012,37,12,8,5,24,5,22,0,0,6,0,0,1,120
2013,39,7,8,8,21,11,13,0,1,3,0,0,0,111
2014,34,11,8,7,18,9,20,0,0,4,0,0,1,112
2015,32,7,8,10,20,5,19,0,0,6,1,0,1,109
2016,27,4,4,6,8,2,4,0,0,5,0,0,0,60
