year,star,director,writer
2016,John Goodman,Dan Trachtenberg,Josh Campbell
1999,Heath Ledger,Gil Junger,Karen McCullah
2000,Glenn Close,Kevin Lima,Dodie Smith
2009,John Cena,Renny Harlin,Daniel Kunka
2013,Chiwetel Ejiofor,Steve McQueen,John Ridley
2010,James Franco,Danny Boyle,Danny Boyle
2004,Jennifer Garner,Gary Winick,Josh Goldsmith
2007,John Cusack,Mikael Håfström,Matt Greenberg
2001,Robert De Niro,John Herzfeld,John Herzfeld
2006,Bruce Willis,Richard Donner,Richard Wenk
2009,Zac Efron,Burr Steers,Jason Filardi
2003,Paul Walker,John Singleton,Gary Scott Thompson
2013,Denzel Washington,Baltasar Kormákur,Blake Masters
1999,Ben Affleck,Risa Bramon Garcia,Shana Larsen
2009,John Cusack,Roland Emmerich,Roland Emmerich
2004,Tony Chiu-Wai Leung,Kar-Wai Wong,Kar-Wai Wong
2008,Jim Sturgess,Robert Luketic,Peter Steinfeld
2013,Miles Teller,Jon Lucas,Jon Lucas
2003,Sean Penn,Alejandro González Iñárritu,Guillermo Arriaga
2012,Jonah Hill,Phil Lord,Michael Bacall
2014,Channing Tatum,Phil Lord,Michael Bacall
2002,Edward Norton,Spike Lee,David Benioff
2008,Katherine Heigl,Anne Fletcher,Aline Brosh McKenna
2007,Jeremy Renner,Juan Carlos Fresnadillo,Rowan Joffe
2014,Kevin Costner,McG,Adi Hasak
2007,Josh Hartnett,David Slade,Steve Niles
2006,Gerard Butler,Zack Snyder,Zack Snyder
2001,Kurt Russell,Demian Lichtenstein,Richard Recco
2014,Sullivan Stapleton,Noam Murro,Zack Snyder
2007,Russell Crowe,James Mangold,Halsted Welles
2013,Keanu Reeves,Carl Rinsch,Chris Morgan
2004,Adam Sandler,Peter Segal,George Wing
2011,Joseph Gordon-Levitt,Jonathan Levine,Will Reiser
1998,Ryan Phillippe,Mark Christopher,Mark Christopher
2002,Eminem,Curtis Hanson,Scott Silver
2007,Al Pacino,Jon Avnet,Gary Scott Thompson
1999,Nicolas Cage,Joel Schumacher,Andrew Kevin Walker
2009,Elijah Wood,Shane Acker,Pamela Pettler
2015,Kate Bosworth,Michael Polish,Michael Polish
2001,Russell Crowe,Ron Howard,Akiva Goldsman
1998,Kevin Spacey,John Lasseter,John Lasseter
2009,Jim Carrey,Robert Zemeckis,Robert Zemeckis
2004,Hilary Duff,Mark Rosman,Leigh Dunlap
1998,John Travolta,Steven Zaillian,Jonathan Harr
1992,Tom Cruise,Rob Reiner,Aaron Sorkin
2013,Bruce Willis,John Moore,Skip Woods
2006,Russell Crowe,Ridley Scott,Marc Klein
2003,Jason Lee,Chris Koch,Greg Glienna
2013,Marlon Wayans,Michael Tiddes,Marlon Wayans
2005,Viggo Mortensen,David Cronenberg,John Wagner
2004,Colin Farrell,Michael Mayer,Michael Cunningham
2001,Heath Ledger,Brian Helgeland,Brian Helgeland
1992,Tom Hanks,Penny Marshall,Kim Wilson
2005,Ashton Kutcher,Nigel Cole,Colin Patrick Lynch
1994,Keenen Ivory Wayans,Keenen Ivory Wayans,Keenen Ivory Wayans
2003,Vin Diesel,F. Gary Gray,Christian Gudegast
2007,Angelina Jolie,Michael Winterbottom,John Orloff
2014,Oscar Isaac,J.C. Chandor,J.C. Chandor
2014,Philip Seymour Hoffman,Anton Corbijn,Andrew Bovell
1998,Chris Kattan,John Fortenberry,Steve Koren
2010,Jackie Earle Haley,Samuel Bayer,Wesley Strick
1987,Heather Langenkamp,Chuck Russell,Wes Craven
1988,Robert Englund,Renny Harlin,Wes Craven
1989,Robert Englund,Stephen Hopkins,Wes Craven
2009,Milla Jovovich,David Twohy,David Twohy
2006,Keanu Reeves,Richard Linklater,Philip K. Dick
2009,Michael Stuhlbarg,Ethan Coen,Joel Coen
1997,Martin Short,Michael Ritchie,Jeff Rothberg
2005,Edward Burns,Peter Hyams,Ray Bradbury
2012,Eddie Murphy,Brian Robbins,Steve Koren
1996,Matthew McConaughey,Joel Schumacher,John Grisham
2014,Liam Neeson,Scott Frank,Lawrence Block
2002,Mandy Moore,Adam Shankman,Nicholas Sparks
2001,Haley Joel Osment,Steven Spielberg,Brian Aldiss
2002,Katie Holmes,Stephen Gaghan,Stephen Gaghan
2011,Taylor Lautner,John Singleton,Shawn Christensen
2002,Hugh Grant,Chris Weitz,Nick Hornby
2014,Kevin Hart,Steve Pink,Leslye Headland
2002,Jack Nicholson,Alexander Payne,Louis Begley
2012,Benjamin Walker,Timur Bekmambetov,Seth Grahame-Smith
1997,Clint Eastwood,Clint Eastwood,David Baldacci
1994,Jim Carrey,Tom Shadyac,Jack Bernstein
1995,Jim Carrey,Steve Oedekerk,Jack Bernstein
2012,Alex Veadov,Mike McCoy,Kurt Johnstad
1988,Carl Weathers,Craig R. Baxley,Robert Reneau
2002,Nicolas Cage,Spike Jonze,Susan Orlean
2013,Naomi Watts,Anne Fontaine,Anne Fontaine
2013,Jaden Smith,M. Night Shyamalan,Gary Whitta
2004,Pierce Brosnan,Brett Ratner,Paul Zbyszewski
2009,Christina Ricci,Agnieszka Wojtowicz-Vosloo,Agnieszka Wojtowicz-Vosloo
2003,Frankie Muniz,Harald Zwart,Ashley Miller
2004,Frankie Muniz,Kevin Allen,Jeffrey Jurgensen
2009,Rachel Weisz,Alejandro Amenábar,Alejandro Amenábar
1997,Michael Jeter,Charles Martin Smith,Kevin DiCicco
1997,Harrison Ford,Wolfgang Petersen,Andrew W. Marlowe
1992,Scott Weinger,Ron Clements,Ron Clements
2011,Glenn Close,Rodrigo Garc�,Gabriella Prekop
2003,Luke Wilson,Rob Reiner,Jeremy Leven
2012,Tyler Perry,Rob Cohen,Marc Moss
2004,Colin Farrell,Oliver Stone,Oliver Stone
2014,Steve Carell,Miguel Arteta,Rob Lieber
2004,Jude Law,Charles Shyer,Bill Naughton
2001,Will Smith,Michael Mann,Gregory Allen Howard
2010,Mia Wasikowska,Tim Burton,Linda Woolverton
2016,Mia Wasikowska,James Bobin,Linda Woolverton
1986,Sigourney Weaver,James Cameron,James Cameron
2009,Ashley Tisdale,John Schultz,Mark Burton
1993,Ethan Hawke,Frank Marshall,Piers Paul Read
2009,Sandra Bullock,Phil Traill,Kim Barker
2002,Ice Cube,Kevin Bray,Ronald Lang
2013,Robert Redford,J.C. Chandor,J.C. Chandor
2006,Sean Penn,Steven Zaillian,Steven Zaillian
2016,Shailene Woodley,Robert Schwentke,Noah Oppenheim
2000,Billy Crudup,Cameron Crowe,Cameron Crowe
2015,Bradley Cooper,Cameron Crowe,Cameron Crowe
2005,Christian Slater,Uwe Boll,Elan Mastai
2001,Morgan Freeman,Lee Tamahori,James Patterson
2004,Ben Stiller,John Hamburg,John Hamburg
2010,Hayden Panettiere,Anthony Bell,Chris Denk
2007,Jason Lee,Tim Hill,Jon Vitti
2011,Justin Long,Mike Mitchell,Jonathan Aibel
2009,Jason Lee,Betty Thomas,Jon Vitti
1999,Kevin Spacey,Sam Mendes,Alan Ball
2006,Hugh Grant,Paul Weitz,Paul Weitz
2007,Denzel Washington,Ridley Scott,Steven Zaillian
1998,Edward Norton,Tony Kaye,David McKenna
2013,Christian Bale,David O. Russell,Eric Warren Singer
2001,Colin Farrell,Les Mayfield,Roderick Taylor
1999,Jason Biggs,Paul Weitz,Adam Herz
2001,Jason Biggs,J.B. Rogers,Adam Herz
2000,Christian Bale,Mary Harron,Bret Easton Ellis
2012,Jason Biggs,Jon Hurwitz,Jon Hurwitz
2014,Bradley Cooper,Clint Eastwood,Jason Hall
2003,Jason Biggs,Jesse Dylan,Adam Herz
1997,Djimon Hounsou,Steven Spielberg,David Franzoni
2000,Emilio Echevarr�,Alejandro González Iñárritu,Guillermo Arriaga
2012,Jean-Louis Trintignant,Michael Haneke,Michael Haneke
