year,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Horror,Mystery,Romance,Sci-Fi
1 986.00,"Sigourney Weaver, Kurt Russell, Christopher Lambert, Lea Thompson, Eddie Murphy, Charlie Sheen, Tom Cruise","Paul Hogan, Wil Wheaton, William Shatner",,,"Rick Moranis, Kathleen Turner",,"Charlie Sheen, Paul Newman",,,Karen Black,,,
1 987.00,"Heather Langenkamp, Eddie Murphy, Vincent Price, Warren Beatty, Arnold Schwarzenegger, Peter Weller, Christopher Reeve, Timothy Dalton, Arnold Schwarzenegger","Lorraine Gary, Mel Brooks, Cary Elwes",,"Robin Williams, Lou Diamond Phillips, John Lone","George Kennedy, Bruce Campbell, Matthew Broderick","Lane Smith, Kevin Costner, Charlie Sheen",Michael Douglas,,,Andrew Robinson,,,
1 988.00,"Carl Weathers, Jean-Claude Van Damme, Bruce Willis, Robert De Niro, James Le Gros, Sylvester Stallone, Roddy Piper, Emilio Estevez",,Pat Hingle,,"Alec Baldwin, Tom Hanks, Sonny Bono, Dan Aykroyd, Arnold Schwarzenegger",,"Glenn Close, Dustin Hoffman, Eric Bogosian, Willem Dafoe",,,"Robert Englund, Catherine Hicks, Jennifer Banko, Donald Pleasence, Heather O'Rourke, Cliff De Young",,,
1 989.00,"Michael Keaton, Michael Douglas, Harrison Ford, Timothy Dalton, Patrick Swayze, William Shatner, Sylvester Stallone","Michael J. Fox, Keanu Reeves, Jensen Daggett, Ed Harris",,"Tom Cruise, Matthew Broderick","Robin Williams, Danny Aiello, Tom Berenger, Billy Crystal",Al Pacino,Morgan Freeman,,Robert Englund,Dale Midkiff,,,
1 990.00,"Tom Cruise, Warren Beatty, Bruce Willis, Danny Glover, Judith Hoag, Andrew Dice Clay, Sean Connery, Clint Eastwood","Michael J. Fox, Kevin Costner, Douglas Barr",,,"Jeff Daniels, Zach Galligan, Macaulay Culkin, Arnold Schwarzenegger, Richard Gere, Kevin Bacon, Adrienne Shelly","Robert De Niro, Al Pacino","Johnny Depp, Kiefer Sutherland, Patrick Swayze, Denzel Washington",,,"Alex Vincent, Tony Todd",,,
1 991.00,"Marc Singer, Jean-Claude Van Damme, Mickey Rourke, Bruce Willis, Kevin Costner, Jason Patric, Dolph Lundgren, William Shatner, Paige Turco, Arnold Schwarzenegger","Dustin Hoffman, Brian Krause, Ethan Hawke",,Val Kilmer,"Robert Englund, Anjelica Huston, Jeff Bridges, Leslie Nielsen","Cuba Gooding Jr., Robert De Niro, Jodie Foster","Kevin Costner, Barbra Streisand",,,,,,
1 992.00,"Michael Keaton, Carlos Gallardo, Christopher Lambert, Mel Gibson, Harrison Ford, Kevin Costner, Daniel Day-Lewis",Macaulay Culkin,Scott Weinger,Denzel Washington,"Tom Hanks, Eddie Murphy, Meryl Streep, Dustin Hoffman, Chevy Chase, Joe Pesci, Emilio Estevez, Mike Myers","Al Pacino, Harvey Keitel","Tom Cruise, Lorraine Bracco, Clint Eastwood",,,Jeff Fahey,,,
1 993.00,"Sylvester Stallone, Arnold Schwarzenegger, Nancy Allen, Gary Oldman, Elias Koteas, Harrison Ford, Charlie Sheen, Kurt Russell","Ethan Hawke, John Candy, Sam Neill, Bob Hoskins",Vincent Price,Liam Neeson,"Jason London, Bill Murray, Bette Midler, Robin Williams","Michael Biehn, Eric Stoltz, Tyrin Turner, Julia Roberts, Christian Slater","Tom Hanks, Janet Jackson, Ashley Judd, Daniel Day-Lewis, Tom Cruise, Anthony Hopkins, Johnny Depp",Darci Kistler,John D. LeMay,,,,
1 994.00,"Keenen Ivory Wayans, Eddie Murphy, Harrison Ford, Christopher Lambert, Ray Liotta, Steven Seagal, Jason Scott Lee, Keanu Reeves, Patrick Stewart, Jean-Claude Van Damme, Brandon Lee, Alec Baldwin, Sylvester Stallone, Arnold Schwarzenegger","Lara Flynn Boyle, Kevin Costner",Matthew Broderick,Johnny Depp,"Jim Carrey, Brian O'Halloran, Johnny Depp, Jim Carrey, Tom Hanks, Hugh Grant, Jeremy Piven, Danny DeVito, Kathleen Turner, John Goodman, Jim Carrey, Tim Allen","John Travolta, Susan Sarandon, Tim Robbins","Michael Douglas, Brad Pitt",,Heather Langenkamp,,,,
1 995.00,"Sylvester Stallone, Will Smith, Val Kilmer, Laura Linney, Gene Hackman, Geena Davis, Antonio Banderas, William Baldwin, Sean Connery, Pierce Brosnan, Wesley Snipes, Christopher Lambert, Dustin Hoffman, Jackie Chan, Natasha Henstridge, Lori Petty, Christopher Lambert, Sandra Bullock, Steven Seagal, Denzel Washington, Kevin Costner","Jim Carrey, Tom Hanks, Liam Neeson","Mel Gibson, Tom Hanks","Mel Gibson, Nick Nolte, Anthony Hopkins","Bill Pullman, Tim Roth, Ice Cube, Gene Hackman, Jonny Lee Miller, Shannen Doherty, Michael Douglas, Marisa Tomei, Nicole Kidman, Eddie Murphy","Robert De Niro, Susan Sarandon, David Caruso, Morgan Freeman, Clarence Williams III, Kevin Spacey, Andy Garcia","Ethan Hawke, Julianne Moore, Emma Thompson, Elizabeth Berkley, Clint Eastwood, Demi Moore",,,Donald Pleasence,,,
1 996.00,"John Travolta, Keanu Reeves, Denzel Washington, Sylvester Stallone, Dennis Quaid, Arnold Schwarzenegger, Kurt Russell, Kurt Russell, Laurence Fishburne, Harvey Keitel, Will Smith, Jean-Claude Van Damme, Tom Cruise, Mel Gibson, Jada Pinkett Smith, Robert De Niro, Geena Davis, Billy Zane, Sean Connery, Helen Hunt",Jeff Bridges,"Michael Jordan, Demi Moore","Jeffrey Wright, Madonna, Liam Neeson","Luke Wilson, Ben Stiller, Theresa Randle, Adam Sandler, Tom Cruise, Arnold Schwarzenegger, Woody Harrelson, Jack Nicholson, Shirley MacLaine, Edward Burns, Demi Moore, Vince Vaughn, Jim Carrey, Goldie Hawn, Eddie Murphy, Kevin Costner","Matthew McConaughey, Jennifer Tilly, Hugh Grant, Robert De Niro, Christopher Walken","Chris Cooper, Julia Roberts, John Travolta, Leonardo DiCaprio, Billy Bob Thornton, Robin Tunney, Ralph Fiennes, Ewan McGregor",Paul Hogan,,"Neve Campbell, David Thewlis",,,
1 997.00,"Clint Eastwood, Harrison Ford, Jon Voight, Arnold Schwarzenegger, Kurt Russell, Nicolas Cage, Mel Gibson, Pierce Brosnan, John Travolta, Demi Moore, Robin Shou, John Leguizamo, Sandra Bullock, Casper Van Dien, Shaquille O'Neal, Harrison Ford, Bruce Willis, Bruce Willis, Jeff Goldblum, Bill Murray, Kevin Costner, Val Kilmer, Pierce Brosnan, Ray Liotta","Mike Myers, Tommy Lee Jones, Brad Pitt","Meg Ryan, Scott Bakula, Tate Donovan","Al Pacino, Tenzin Thuthob Tsarong, Jared Leto, Jennifer Lopez","Martin Short, Michael Jeter, Jack Nicholson, Ben Affleck, Woody Allen, Robin Williams, Jim Carrey, Julia Roberts, Dan Futterman, Melanie Brown, Robert Carlyle, Robert Downey Jr., Dustin Hoffman","Sylvester Stallone, Pam Grier, Morgan Freeman, Kevin Spacey, John Travolta, John Cusack, Danny Glover, Matt Damon","Djimon Hounsou, Mark Wahlberg, Mohammad Amir Naji, Jodie Foster, Ethan Hawke, Robin Williams, Jeremy Irons, Keanu Reeves, Michael Douglas, Kevin Kline, Steve Martin, Leonardo DiCaprio",,,"Laurence Fishburne, Jennifer Love Hewitt, Neve Campbell, Penelope Ann Miller",,,
1 998.00,"Bruce Willis, Wesley Snipes, Robert Duvall, Treat Williams, Will Smith, Morgan Freeman, Mel Gibson, Gary Oldman, Robert De Niro, Harrison Ford, Jeffrey Falcon, Kirsten Dunst, Kurt Russell, Patrick Stewart, Ralph Fiennes, Mark Wahlberg, Antonio Banderas, Matthew McConaughey, Yun-Fat Chow, Denzel Washington",Johnny Depp,"Kevin Spacey, Woody Allen, Ming-Na Wen, Val Kilmer, Elizabeth Daily","Cate Blanchett, Ian McKellen, Robin Williams, Billy Crudup","Chris Kattan, Jennifer Tilly, Warren Beatty, Jennifer Love Hewitt, Eddie Murphy, Drew Barrymore, Dave Chappelle, Drew Barrymore, Angela Bassett, Sandra Bullock, Jason Schwartzman, Gwyneth Paltrow, Ian Michael Smith, Gwyneth Paltrow, Jeff Bridges, Jennifer Aniston, Jim Carrey, Adam Sandler, Ben Stiller, Christian Slater, Jada Pinkett Smith, Tom Hanks, Bill Pullman","Edward Norton, George Clooney, Matt Damon, Nicolas Cage, Paul Newman, Kevin Bacon","Ryan Phillippe, John Travolta, Fernanda Montenegro, Denzel Washington, Brad Pitt, Sean Gullette, Tom Hanks, Dustin Hoffman, Robert Redford, Carlo Cecchi, Jim Caviezel, David Duchovny, Robin Williams",,,"Jennifer Love Hewitt, Vince Vaughn, Jordana Brewster, Jared Leto",,,
1 999.00,"Mike Myers, Martin Lawrence, Thomas Jane, Arnold Schwarzenegger, Sean Connery, Hiroshi Abe, Bridget Fonda, Ben Stiller, Mel Gibson, Ewan McGregor, Antonio Banderas, Willem Dafoe, Yun-Fat Chow, Keanu Reeves, Pierce Brosnan, George Clooney, Jean-Claude Van Damme, Will Smith","Ben Affleck, Tim Allen, Dave Goelz, Milla Jovovich","James Levine, Eli Marienthal, Tom Hanks","Hilary Swank, Jim Carrey, Denzel Washington, Russell Crowe","Heath Ledger, Ben Affleck, Jason Biggs, Robert De Niro, Susan Sarandon, Kathleen Turner, John Cusack, Robin Williams, Adam Sandler, Brendan Fraser, Edward Furlong, Rob Schneider, Kirsten Dunst, Melissa Joan Hart, Kirsten Dunst, Sarah Polley, Jeremy Northam, Devon Sawa, Rose McGowan, Christopher Lloyd, Russell Crowe, Hugh Grant, Shawn Hatosy, Woody Harrelson, Julia Roberts, Freddie Prinze Jr., Steve Martin, Bruce Willis","Ashley Judd, Denzel Washington, John Travolta, Tom Hanks, Terence Stamp, Matt Damon, Pierce Brosnan","Kevin Spacey, Al Pacino, Claire Danes, Sarah Michelle Gellar, Tom Cruise, Brad Pitt, Tom Cruise, Kevin Costner, Harrison Ford, Tobey Maguire, Maggie Smith, Charlize Theron, Michelle Pfeiffer, Ralph Fiennes, Bruce Willis, Kirsten Dunst, Janet McTeer",,,"Geoffrey Rush, Patricia Arquette, Kevin Bacon, Heather Donahue, Emily Bergl",Nicolas Cage,,
2 000.00,"John Travolta, Martin Lawrence, Cameron Diaz, Yun-Fat Chow, Gerard Butler, Sylvester Stallone, Russell Crowe, Nicolas Cage, Christopher Lambert, Kevin Bacon, Sandra Bullock, Tom Cruise, Val Kilmer, Ben Affleck, Jet Li, Samuel L. Jackson, Jackie Chan, Clint Eastwood, Arnold Schwarzenegger, Wesley Snipes, Mel Gibson, George Clooney, Joshua Jackson, Scott Glenn, Patrick Stewart","Glenn Close, Billy Crudup, Tom Hanks, Tim Robbins, George Clooney, Breckin Meyer, Leonardo DiCaprio, Jonathan Lipnicki","Mel Gibson, D.B. Sweeney, Robert De Niro, David Spade, Kevin Kline, Jim Cummings, Matt Damon","Julia Roberts, Cuba Gooding Jr., Geoffrey Rush, Denzel Washington","Brendan Fraser, Freddie Prinze Jr., Kirsten Dunst, Piper Perabo, Liam Neeson, Diane Keaton, John Cusack, Jim Carrey, Ben Stiller, Jim Carrey, Ben Stiller, Ice Cube, Eddie Murphy, David Arquette, David Duchovny, Sigourney Weaver, Mark Addy, Bruce Willis, Tim Meadows, Madonna, Bruce Willis, Mel Gibson, Natalie Portman","Christian Bale, Giovanni Ribisi, Takeshi Kitano, Danny DeVito, Dennis Quaid, Michael Douglas","Emilio Echevarr�, Jamie Bell, Amanda Schull, Juliette Binoche, Sean Connery, James Marsden, Sanaa Lathan, Kevin Spacey, Ellen Burstyn, John Malkovich, Cate Blanchett, Lori Heuring, Will Smith, Kevin Costner, Bruce Willis, Harrison Ford",,,"Devon Sawa, Radha Mitchell, David Arquette, James Spader, Jennifer Lopez",Guy Pearce,,
