Data,Name,Local/ Country,Type
04/1986,Chernobyl disaster,Ukraine,Disaster
10/1987,Stock market crash,World-wide,Economics
08/1988,End or Iran-Iraq war,World-wide,War
06/1989,Tiananmen Square,China,Politics
12/1989,The Simpsons debut,USA,Technology
06/1990,Fall of Berlin Wall,Germany,Politics
08/1990,Gulf war,Middle East,War
12/1991,Dissolution of the Soviet Union,Russia,Politics
04/1992,Bosnian War starts,Bosnia,War
02/1993,World Trade Center bombing,USA,Terrorism
04/1994,Kurt Cobain Suicide,USA,Death
04/1994,Nelson Mandela elected president,South Africa,Politics
01/1995,Establishment of World Trade Organization,World-wide,Politics
07/1996,Cloning of Dolly the sheep ,Scotland,Technology
08/1997,Death of Princess Diana,France,Politics/Death
10/1998,Hurricane Mitch,Central America,Disaster
04/1999,Columbine High School massacre,USA,Crime
01/2000,New Millenium celebration,Wold-wide,Celebration
01/2001,Wikipedia founded,Wold-wide,Technology
09/2001,9/11,USA,Terrorism
10/2001,iPod announcement,USA,Technology
02/2002,Gujarat Riots,India,Politics
03/2003,Iraq invasion,Iraq,War
02/2004,Facebook creation,World-wide,Technology
02/2005,Kyoto protocol comes in effect,World-wide,Politics
02/2005,YouTube founded,World-wide,Technology
04/2005,Benedict XVI becomes pope,World-wide,Politics
07/2005,London bombings,UK,Terrorism
11/2005,Germany elected first woman chancellor,Germany,Politics
08/2006,Hurricane Katrina,USA,Disaster
12/2006,Saddam Hussein execution,Iraq,Terrorism/Death
01/2007,iPhone announcement,USA,Technology
05/2008,Cyclone Nargis,Myanmar,Disaster
01/2009,Obama becomes first black president in USA,USA,Politics
06/2009,Death of Michael Jackson,USA,Death
01/2010,Haiti earthquake,Haiti,Disaster
03/2011,Syrian War,Syria,War
03/2011,Fukushima Daiichi nuclear disaster,Japan,Disaster
05/2011,Portuguese international bailout,Portugal,Politics
10/2012,Red Bull Stratos,Space,Space
12/2012,End of Mayan calendar,World-wide,Celebration
12/2013,Death of Nelson Mandela,South Africa,Politics/Death
03/2014,Malasya airlines flight 370 disappears,Southern Indian Ocean,Disaster
01/2015,Charlie Hebdo shooting,France,Terrorism
11/2015,Bataclan terrorist attack,France,Terrorism
06/2016,Brexit referendum,UK,Politics
