year,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Horror,Mystery,Romance,Sci-Fi
000000000001986,"6,4; 153464,4; 96903967; 19885714; 108",7; 148335; 171163640; 12333333; 101,0,0,"6,2; 40928; 40065618; 21500000; 98",0,"7,1; 190040; 95412273; 9900000; 119",0,0,"5,5; 5878; 4884663; 12000000; 100",0,0,0
000000000001987,"5,9; 99656,3; 105562883; 33677777; 103","5,9; 167040; 40286103; 20566666; 94",0,"7,1; 68723,7; 74040672; 14166666; 130","6,7; 49901,3; 39974348; 6366666; 94","7,1; 121156; 40157742; 13766666; 115","6,6; 60383; 320145693; 14000000; 119",0,0,"6,9; 83209; 14564027; 1000000; 94",0,0,0
000000000001988,"6,5; 127030,2; 58159836; 18687500; 105",0,7; 66623; 84460846; 12300000; 69,0,"6,3; 100999,8; 109182767; 23600000; 100",0,"7,1; 129455,8; 114828219; 12500000; 131",0,0,"5,5; 29964,3; 32947854; 12050000; 91",0,0,0
000000000001989,"6,4; 164631,7; 178748371; 35000000; 119","6,5; 158528,8; 119121284; 31250000; 110",0,"7,1; 94967; 93915031; 16000000; 133","7,4; 145086; 103944063; 12475000; 112","6,7; 32138; 110879513; 19000000; 113",7; 79478; 145793296; 7500000; 99,0,"5,5; 32517; 22168359; 8000000; 89","6,4; 70178; 57469467; 11500000; 103",0,0,0
000000000001990,"6,2; 98038,8; 166403912; 54500000; 112","6,5; 173566,7; 228035334; 21666666; 133",0,0,"6,5; 133397,9; 183574964; 21214285; 106","7,6; 549167,5; 91801228; 39500000; 154","6,8; 156365,2; 158910714; 19500000; 119",0,0,"6,7; 33875; 32881802; 6557000; 88",0,0,0
000000000001991,"6,2; 118778,1; 123354193; 35500000; 109","6,1; 76159; 112818612; 31666666; 117",0,"6,7; 72491; 34416893; 38000000; 140","6,4; 73718; 88800090; 22000000; 102","7,5; 410299,7; 170848997; 20166666; 119","6,7; 67462; 140096548; 35000000; 160",0,0,0,0,0,0
000000000001992,"6,4; 107899; 182153681; 33317142; 111","6,3; 226766; 358991681; 18000000; 120","7,4; 287068; 504050219; 28000000; 90","7,2; 69074; 48169908; 34000000; 202","6,4; 60110,6; 94359014; 30875000; 110","7,8; 408874; 12693117; 6850000; 99","7,1; 170495; 135683200; 29666666; 127",0,0,"5,4; 29522; 32101000; 10000000; 108",0,0,0
000000000001993,"5,9; 83500,8; 125740725; 44187500; 113","6,3; 210822; 283153443; 39250000; 112","6,8; 2780; 669276; 28000000; 72","8,3; 956124; 321365567; 22000000; 195","7,1; 220861; 139925230; 18625000; 106","6,5; 60310,2; 47186983; 14900000; 110","7; 81573,1; 84419625; 19900000; 127","5,6; 1280; 2119994; 19000000; 92","4,2; 21333; 15938065; 3000000; 87",0,0,0,0
000000000001994,"5,9; 73040,1; 126156654; 37571428; 111","6,2; 37363; 20861752; 56500000; 145",8; 723070; 788241776; 45000000; 88,"7,3; 149166; 5887457; 18000000; 127","6,5; 230270,5; 186003490; 22502250; 102","7,7; 1122687,3; 119961814; 26000000; 138","6,6; 80296; 187326986; 42500000; 130",0,"6,4; 41464; 18090181; 14000000; 112",0,0,0,0
000000000001995,"5,9; 78282,1; 113896390; 49976190; 113","6,6; 144391,3; 199740125; 36666666; 123","7,2; 413910,5; 359816903; 42500000; 81","6,7; 278405,7; 75385255; 43333333; 169","6,3; 59068,5; 59702885; 22075000; 101","6,9; 347465,9; 75501544; 23714285; 120","6,5; 70976,3; 65605228; 28000000; 125",0,0,5; 22890; 15116634; 5000000; 87,0,0,0
000000000001996,"6; 110955,9; 183388101; 56650000; 114","6,3; 18875; 10300000; 38000000; 129","6,7; 119070; 175169425; 90000000; 89","6,4; 24349,7; 53652791; 28654017; 125","6; 74905,4; 70650309; 30981250; 104","6,8; 67637; 68700011; 27800000; 124","6,7; 138315,4; 77837111; 18187500; 122","5,3; 8610; 20080020; 25530000; 95",0,"5,8; 133089,5; 111337221; 27000000; 103",0,0,0
